serial,valid,username
586,True,John
587,True,John
590,True,John
591,True,John
596,True,John
597,True,John
602,True,John
603,True,John
606,False,John
607,False,Nobody
614,False,Nobody
615,False,Nobody
617,False,Nobody
621,False,Nobody
626,False,Nobody
627,False,Nobody
630,False,Nobody
631,False,Nobody
633,False,Nobody
636,False,Nobody
637,False,Nobody
658,False,Nobody
659,False,Nobody
662,False,Nobody
663,False,Nobody
665,False,Nobody
669,False,Nobody
676,False,Nobody
677,False,Nobody
682,False,Nobody
683,False,Nobody
686,False,Nobody
687,False,Nobody
693,False,Nobody
698,False,Nobody
699,False,Nobody
702,False,Nobody
703,False,Nobody
713,False,Nobody
717,False,Nobody
722,False,Nobody
723,False,Nobody
726,False,Nobody
727,False,Nobody
729,False,Nobody
732,False,Nobody
733,False,Nobody
741,False,Nobody
746,False,Nobody
747,False,Nobody
750,False,Nobody
751,False,Nobody
756,False,Nobody
757,False,Nobody
762,False,Nobody
763,False,Nobody
766,False,Nobody
767,False,Nobody
806,False,Nobody
807,False,Nobody
809,False,Nobody
813,False,Nobody
818,False,Nobody
819,False,Nobody
822,False,Nobody
823,False,Nobody
825,False,Nobody
828,False,Nobody
829,False,Nobody
842,False,Nobody
843,False,Nobody
846,False,Nobody
847,False,Nobody
853,False,Nobody
858,False,Nobody
859,False,Nobody
862,False,Nobody
863,False,Nobody
870,False,Nobody
871,False,Nobody
873,False,Nobody
876,False,Nobody
877,False,Nobody
882,False,Nobody
883,False,Nobody
886,False,Nobody
887,False,Nobody
889,False,Nobody
893,False,Nobody
914,False,Nobody
915,False,Nobody
918,False,Nobody
919,False,Nobody
921,False,Nobody
924,False,Nobody
925,False,Nobody
933,False,Nobody
938,False,Nobody
939,False,Nobody
942,False,Nobody
943,False,Nobody
948,False,Nobody
949,False,Nobody
954,False,Nobody
955,False,Nobody
958,False,Nobody
959,False,Nobody
969,False,Nobody
972,False,Nobody
973,False,Nobody
978,False,Nobody
979,False,Nobody
982,False,Nobody
983,False,Nobody
985,False,Nobody
989,False,Nobody
996,False,Nobody
997,False,Nobody
1002,False,Nobody
1003,False,Nobody
1006,False,Nobody
1007,False,Nobody
1013,False,Nobody
1018,False,Nobody
1019,False,Nobody
1022,False,Nobody
1023,False,Nobody
